date,aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,NDVI,EVI,water
1994-01-01,1271.11565510838,0,-176.444517172854,1271.11565510838,225.103465154884,11.0187151872287,1146.69616074956,1967.83937064507,0,218.973337203002,313.538668850336,2543.98554326634,107.698692226971,179.439578883502,0,0,0
1994-02-01,1179.90483910223,8.18795513430905,-219.8036707166,1188.02788342811,124.614564595303,6.01928646737704,1150.92071920329,2091.79027599398,0,211.425720197144,314.195115591907,2556.94569120932,101.277126141135,200.11793081091,0,0,0.62023976847479
1994-03-01,543.708829785281,1072.1302303114,-328.451038936768,1615.98100797115,20.1368591438778,1,798.663319204576,2699.37982174075,0,200.084897186922,341.478933022172,2524.91677030671,134.850739987478,179.715429124332,0,0,0
1994-04-01,371.896460491949,1089.50372558923,-396.650850178868,1461.40408912664,20.1608345696611,1,619.774164406742,2372.63238283552,0,184.954262146456,335.683921970813,2128.73567499537,155.116642270567,233.469609878858,0,0,1.12551845700751
1994-05-01,110.84557145116,1145.7265062588,-446.846715746363,1256.32193061461,0,0,509.156497053878,2164.11371250803,0,149.225519096619,317.370163760365,1703.7772812914,150.488027901273,192.711932294999,0,0,0
1994-06-01,75.9436603765539,933.685940907076,-457.002493309453,1009.66469622518,0,0,433.260226410342,1912.71950516481,0,118.654278355446,286.027180047178,1417.70493194454,124.66320817052,187.304324280917,0,0,1.10584838092708
1994-07-01,55.5875984373937,1089.226894878,-454.227660467759,1144.74242973254,0,0,377.434453719863,1991.58622017756,0,125.676442290295,284.202141222434,1382.8132659925,129.368130944845,223.059875859956,0,0,1.13318994777696
1994-08-01,42.5799120550768,1333.02539904104,-436.932258814443,1375.64248346509,0,0,334.932635041456,2148.27303498216,0,146.37062747627,309.612360767502,1379.75801291663,170.838682630456,220.347985202728,0,0,1.08735432086129
1994-09-01,34.2102640578288,1817.72172287187,-411.12074755663,1851.75493073011,0,0,301.201456677632,2564.47143376198,0,187.873817970564,351.141119084523,1469.96260085387,246.627770213031,278.234448416004,0,0,0.914538457706424
1994-10-01,272.775361740537,1699.95651777362,-321.785140916595,1972.86482594667,25.8413201850501,1,273.717830235862,2403.81552508947,0,219.137941725954,359.497081638286,1582.15537679953,271.924505266434,273.280633627755,0,0,0
1994-11-01,485.434481478377,1561.5998059878,-340.234069214864,2046.92020393585,48.6698811192034,2.17055277612411,250.925781662427,2589.97643401231,0,235.79274352768,379.537532733979,2203.82248999825,258.207109500896,301.631137915702,0,0,1.11963713771829
1994-12-01,1523.67556417942,112.561995916524,-392.16269686859,1636.02321404937,159.591666051187,8,241.657182837901,2488.59522137167,0,206.506828098953,333.424289394412,2499.75629957187,129.993784075435,259.630373317325,0,0,1.11780433720654
1995-01-01,953.37467005783,469.232522916883,-527.421095430302,1422.54063747429,98.3360096341871,5,223.754527983804,2229.65307606477,0,218.167903325023,325.227380404173,2636.47582159007,113.854116364685,195.19423921594,0,0,0
1995-02-01,1235.71720393437,61.5781602945177,-568.520080559173,1297.31777179427,129.537766946449,6.34148995810941,219.428217472101,2293.32084604978,0,217.665486351485,323.195115591907,2614.25183639924,112.908094035934,195.954792532364,0,0,0.273310582979268
1995-03-01,473.466550989664,1122.21415718953,-635.139420610398,1595.32101433578,48.233998083671,2,204.61941514792,2562.86127607874,0,209.998465598525,332.956881360602,2517.11190523044,130.037604608706,229.711230896812,0,0,1.11454718178729
1995-04-01,53.5853066250155,1426.91494964555,-723.630944597471,1480.51507857394,4.30285580591643,0,191.645901975761,2317.98589074347,0,194.010848870252,336.082378845235,2139.61338708901,160.837223077834,248.376686019969,0,0,1.1086324036652
1995-05-01,16.7391973526308,1254.16428951338,-758.578893664563,1271.1948828665,0.64494182856242,0,180.371562591237,2048.83239260056,0,162.720600139089,310.562212532076,1769.96182609389,142.438647486194,235.298190144834,0,0,1.11137156678296
1995-06-01,10.0016585712593,991.869819257367,-752.363869021446,1002.32664510094,0,0,170.30939987578,2020.8695647217,0,110.451223580461,281.027180047179,1375.44106024638,119.685615735905,176.767478818022,0,0,1.10953777489839
1995-07-01,9.03724870489178,1149.81980138782,-732.787049810174,1158.77061850432,0,0,161.387497961483,1986.22080832794,0,127.007017203835,290.359498790273,1378.20047397664,137.532218713303,216.252252281278,0,0,0
1995-08-01,8.03724870489179,1407.40390745707,-699.80172167231,1415.34842487777,0,0,153.400542976377,2134.74173899163,0,160.867008459903,318.412206509469,1452.62986945071,183.14796081489,223.881887271679,0,0,1.1173036939295
1995-09-01,7.42252301106523,1903.64703189601,-659.806976706143,1910.60565906892,0,0,146.048566495769,2592.77520361613,0,191.279228105099,350.550181694349,1472.78816832961,247.73997236045,299.332684064976,0,0,1.09534602505348
1995-10-01,198.372838491542,2011.06828148521,-579.71118801982,2209.16644228533,20.2032111644746,1,139.378563437376,2699.85258692008,0,244.907081097987,388.26637938256,1789.37750861381,324.01885769746,275.098190045696,0,0,1.11984929150302
1995-11-01,388.694415185096,1432.74074513767,-574.35571669263,1821.35450300113,40.2080612214043,2,133.444766008112,2262.31809622191,0,237.344268535871,367.879107454696,2136.74170032799,246.001431794106,269.3289074199,0,0,0
1995-12-01,1087.47544635444,193.056228341542,-617.424425708547,1280.48430255988,113.822099891989,6,127.897343807546,1900.50455289211,0,209.582519124872,311.337857806016,2402.11471454084,111.659863269487,214.302790622975,0,0,0
1996-01-01,1284.25289320556,0,-579.144890029188,1284.25289320556,204.584486509609,10.0187151872287,786.788738122699,1993.3215888379,0,219.126209292261,316.538668850335,2599.48043793022,106.618277048813,181.321434926853,0,0,0
1996-02-01,1123.70947219662,0,-525.098033656206,1123.70947219662,174.541588699112,9,1320.48832432255,1944.28525740321,0,220.51296248288,308.49379398919,2601.02779370862,97.1222678310039,202.26341640895,0,0,0
1996-03-01,954.237626765946,292.545712325622,-482.647774931978,1246.89969683736,84.3319397897984,4,1167.77343351513,1999.84506758454,0,205.97605803314,312.92129122697,2387.45740728531,112.687380136502,172.607889911712,0,0,0
1996-04-01,408.078187557344,897.068524124377,-507.145403561713,1304.94292775004,4.66092131501998,0,805.883141113877,2122.15082142897,0,179.921049083497,317.944705534204,2025.51471548265,137.186977885881,224.640162654982,0,0,0
1996-05-01,355.432689814954,651.314947613238,-463.705943891118,1007.01881358125,18.6909632155066,1,627.746902075394,1707.77070376261,0,157.789813517306,297.370163760366,1695.74342656063,130.766145170092,151.829855918437,0,0,0
1996-06-01,113.357200038267,818.972110623627,-454.245843286329,932.212028706267,0,0,514.147523370437,1847.9330058159,0,116.43090261272,280.632400184593,1385.93918530741,120.468672533296,154.77447322022,0,0,1.09570242358436
1996-07-01,77.3519095627586,1052.32370616819,-443.795146869805,1129.776116673,0,0,436.909286660694,1932.96850771711,0,109.208772037658,286.669487295274,1279.80924051216,135.000524437654,213.63735284889,0,0,0
1996-08-01,56.5824650949067,1407.68288771829,-424.628630726989,1464.47277137542,0,0,380.334605598594,2347.03627492627,0,146.06979779409,323.974679773311,1409.21989204911,187.011322004224,214.32119724457,0,0,1.1044864825076
1996-09-01,43.3329675983778,1877.3866424044,-396.597721620759,1920.76845259663,0,0,337.1065190872,2603.49852656811,0,190.301635670484,358.257366539786,1470.84743895481,259.738937860085,288.439179359164,0,0,0
1996-10-01,38.3449954619784,2313.65737615612,-411.14818362654,2351.98864131487,0.349273990916025,0,302.961126430616,2857.64497231335,0,228.062250700034,387.498381579448,1699.56448030359,317.137284939666,313.540855576908,0,0,0
1996-11-01,631.511446669695,1316.27165300468,-381.352724473442,1947.71053693394,63.6247901381925,3.0187151872287,275.340165728246,2422.45567931776,0,243.29746272304,370.537532733979,2205.39275026903,248.996685088076,297.130238738097,0,0,0
1996-12-01,1339.19851154878,0,-318.982075682598,1339.19851154878,240.278308604296,12,1217.63442506911,1963.46692126842,0,216.148113486722,319.337857806015,2478.74208349463,119.811340493377,217.706606377816,0,0,0
1997-01-01,1107.1817592851,0,-96.5075141308186,1107.1817592851,310.626723072629,18.6824356510536,3032.15416286019,1664.02274562443,0,225.974371703366,309.256265617262,2600.51423293061,102.6425156848,155.700601864083,0,0,0
1997-02-01,1024.05323438745,0,278.98776221263,1024.05323438745,191.286634423829,76.9765477726515,3152.25608469122,1729.94211358288,0,217.618680538653,302.979291404426,2552.04046844476,92.5101873749315,196.721117389271,0,0,0.83687356700156
1997-03-01,1144.17749290051,221.44113137758,257.73418768424,1365.85085275644,80.3643156361233,4,2771.4866488979,2154.44572342902,0,217.625137367471,317.687386084754,2498.01943319095,116.874447494025,208.964370707034,0,0,0.537879240380398
1997-04-01,993.765692855005,117.815976165349,397.521855617058,1111.67348204296,87.1605983744413,4.41817905134284,2605.96296171455,1851.18503008081,0,191.921049083498,314.449624491733,2050.24654096685,138.186977885881,147.562928800896,0,0,0.299316027103141
1997-05-01,638.506643455258,481.051138371734,448.104069893956,1119.53557154534,2.39946386411414,0,1988.30681362486,2105.0741174651,0,141.743007704474,300.562212532077,1586.79944820038,136.46386485767,147.693217107771,0,0,0
1997-06-01,448.291450030459,511.783866999041,476.93497196142,960.107505753693,0,0,1539.91820532279,1851.045427553,0,134.193082528543,299.931168053517,1521.86455430978,138.006240708952,141.544103075296,0,0,1.09732976207796
1997-07-01,426.774134913321,681.317477603585,500.294862345028,1107.70167007121,0,0,1113.63635527726,1825.00003370676,0,125.871920725647,274.669487295274,1289.89430425017,128.369165445209,229.69005437199,0,0,0.000134331017899
1997-08-01,332.587218988409,1082.72552653193,494.735322313532,1415.32239631327,0,0,780.947600846434,2310.98799741647,0,143.75076100464,321.389798944085,1381.33395029937,184.876333338124,199.278190630608,0,0,1.11047610927804
1997-09-01,173.606496037719,1521.49095196339,476.014443102231,1695.32665204057,0,0,608.999334291331,2187.11094557893,0,193.8727834702,338.257366539786,1452.49258971577,232.839105452119,275.788925988363,0,0,1.07863321411249
1997-10-01,207.940980192812,1819.69653301106,437.381511788197,2027.63751320388,10.4982058581371,0.740841548944952,501.877654346016,2518.61897646424,0,219.408852438213,356.965387362638,1545.31697795032,271.656793227318,280.175243221593,0,0,0
